"date_mdy","journal_entry","location","year","month","longitude","latitude"
1871-12-23,"Was married at home in evening by William Rand Esqr.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-25,"Shooting match all day in the evening to Christmas tree at the Hall.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-26,"About home at work jobbing.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-27,"Work about home received letter from N. H. Higgins Ins agt.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-28,"Work about home.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-29,"To work in shop.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-30,"To work in shop.","Winter Harbor",1871,12,-68.09811741,44.39116851
1871-12-31,"Went to meeting.","Winter Harbor",1871,12,-68.09811741,44.39116851
1872-01-01,"Work in shop.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-02,"Work in shop.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-03,"Work in shop.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-04,"Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-04,"Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake","Ellsworth",1872,1,-68.42420475,44.54105229
1872-01-05,"Wrote a will for Benj Rand","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-06,"Unwell took sweat at night.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-07,"Unwell staid in house.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-08,"Unwell staid in house.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-09,"Went to C. J. Guptills first time out since sat.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-10,"Work around home.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-11,"Went up the stream to pile up wood.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-12,"About home wrote a letter to Amery Otis Ellsworth. Regs one to G H Loomes Ins. Agt. Portsmouth","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-13,"Cleaning road and and cutting wood on home lot.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-15,"Cutting wood on home lot.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-16,"Whites landing cutting wood.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-18,"Cutting wood at Whites Landing.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-19,"Cutting wood Whites Landing","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-24,"Hewing sill and sleepers for shed floor","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-25,"Laying shop floor","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-26,"Work in shop making improvements thereon","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-27,"Work in shop","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-29,"Wrote a letter to Jos. Bunker one to Hale ⌘Emery went up stream cutting wood","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-30,"Cutting wood stopping at camp","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-31,"Cuting wood stopping at camp","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-02-01,"Came home from camp read a letter from Joseph Bunker & Emery","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-02,"Work in shop wrote a letter to Joseph Bunker","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-03,"work in shop received a letter from CC Burrill Ellsworth one from George N Loomis","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-04,"Staid at home","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-05,"Work in shop","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-06,"Work in shop","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-08,"building lathe in shop","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-09,"Work in shop","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-10,"Went to C Isles to buy boat in A. G. Brooks took dinner on board on supper & lodging at Joseph Bunkers","Cranberry Isles",1872,2,-68.27013482,44.2585131
1872-02-11,"Breakfast at Joseph Bunkers dinner at Enock Spirlings supper and lodging at John Bulgers","Cranberry Isles",1872,2,-68.27013482,44.2585131
1872-02-12,"Came home in A G Brook very moderate all day","Cranberry Isles",1872,2,-68.27013482,44.2585131
1872-02-12,"Came home in A G Brook very moderate all day","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-13,"work on lathe","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-14,"finished work on lathe","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-17,"unwell unable to work","Winter Harbor",1872,2,-68.09811741,44.39116851
