"date_mdy","journal_entry","location","year","month","longitude","latitude","item"
1872-08-27,"rainy build Coal bin wrote letter to Hale & Emery Ellworth Me.","Winter Harbor",1872,8,-68.09811741,44.39116851,"coal"
1872-08-28,"Went on Gridstone point after Oxen hauled home one load coal from John Lark from Rockland price of coal 6.50 per ton","Winter Harbor",1872,8,-68.09811741,44.39116851,"coal"
1872-08-29,"hauled home 3 loads coal cut down a piece of oats Acknowledge deed for N. Hammond","Winter Harbor",1872,8,-68.09811741,44.39116851,"coal"
1873-12-25,"The wind North West commenced to burn coal took dunnage out of vessel","Winter Harbor",1873,12,-68.09811741,44.39116851,"coal"
1874-04-08,"The wind Southerly very moderate got coal out of vessel and brought scow around to the shore to get wood in","Winter Harbor",1874,4,-68.09811741,44.39116851,"coal"
1874-12-30,"The wind North West heavy blow and cold worked on board vessel in forenoon. put coal fixtursin stove and commenced burning coal in afternoon.","Winter Harbor",1874,12,-68.09811741,44.39116851,"coal"
1875-01-04,"The wind very moderate Westerly got two Bbls coal home and went on the shore and Married Mr Henry Bunker and Miss Hattie Bunker both of Gouldsboro came back and went to Hall meeting and was chosen secretary","Winter Harbor",1875,1,-68.09811741,44.39116851,"coal"
1875-05-13,"The wind westerly and pleasant set up rigging and mending sails towed into the wharf in Charlestown to discharge coal wrote letter home recd one from home","Boston",1875,5,-71.057083,42.361145,"coal"
1875-07-07,"The wind Easterly Commenced discharging coal","Boston",1875,7,-71.057083,42.361145,"coal"
1876-11-19,"The wind Easterly went on board the Schr Henrietta and went to Rockland to buy coal and provisions for winter. arrived at five oclock P.M. and went into Atlantic wharf.","Winter Harbor",1876,11,-68.09811741,44.39116851,"coal"
1876-11-19,"The wind Easterly went on board the Schr Henrietta and went to Rockland to buy coal and provisions for winter. arrived at five oclock P.M. and went into Atlantic wharf.","Rockland",1876,11,-69.10869077,44.1041007,"coal"
1876-11-27,"The wind North West hauled the Schr Henrietta into the wharf and took out coal and hauled it home.","Winter Harbor",1876,11,-68.09811741,44.39116851,"coal"
1882-07-25,"Wind very moderate Southerly Hauled the Sea Queen into the Wharf and took one ton of coal out. that was left in by the Stevedores when we discharged in Boston.","Winter Harbor",1882,7,-68.09811741,44.39116851,"coal"
1882-12-29,"Wind SouthWest had vessels bottom painted and vessel put in the water. Being discharged about getting a suitable Charter to go upshore I took acoal order to go tp Port Johnson and load with coal for Portsmouth NH at $1.35 per ton. Went Port Johnson at night.","Brooklyn",1882,12,-73.949997,40.650002,"coal"
1882-12-31,"Got underway. At 5.30vin the morning at Port Johnson loaded with coal. On board the Schr. Chromo. My first trip in her. Wind West Went through Hell gate with a pilot at noon. at 8 o.clock in evening passed between Stratford and middle ground. At midnight the end of this year 1882 Abrest of Falkners Island. in Long Island Soud bound to Portsmouth. N.H. The sky overcast and very dark.","Long Island",1882,12,-73.3,40.8,"coal"
1882-12-31,"Got underway. At 5.30vin the morning at Port Johnson loaded with coal. On board the Schr. Chromo. My first trip in her. Wind West Went through Hell gate with a pilot at noon. at 8 o.clock in evening passed between Stratford and middle ground. At midnight the end of this year 1882 Abrest of Falkners Island. in Long Island Soud bound to Portsmouth. N.H. The sky overcast and very dark.","Portsmouth",1882,12,-70.762245,43.071568,"coal"
1883-01-28,"Wind moderate Easterly with snow most all day. Went on board Chromo, and came in to the Harbor with vessel and help break the the ice in the Harbor so the Nevada and A. Hooper could move hauled Chromo into the wharf to take out some coal","Winter Harbor",1883,1,-68.09811741,44.39116851,"coal"
1883-02-12,"Wind NorthWest work in shop on various kinds of work. In the afternoon Henry Sargents house and barn was burned. to gather with 3 1/2 coals Pray & a years moved prepared for the stove, furniture saved","Winter Harbor",1883,2,-68.09811741,44.39116851,"coal"
1883-11-29,"Wind Westerly also Thanksgiving Towed Chromo out of New Town Creek. made sail and went as far as Robbins Reef. Took tug boat and towed to Elizabeth port arriving at one P.M. at 3.45 commenced loading Coal for Bar Harbor to freight $1.35 per ton and discharged. At 5.15 oclock was loaded with 199 tons. Got ship stores in evening","Bar Harbor",1883,11,-68.212219,44.387699,"coal"
1883-11-30,"Wind from South West to West. towed out the coal dock at Elizabeth port in morning. made sail and anchored at the Red Hook at 10 a.m. Went to the City of N.Y. and settled the freight on the load of lumber I brouht here. Sent J.P. Gordon a check bore so for owners of Chromo Shiped a man got on board at 4 P.M. and am all ready to sail for Bar Harbor","Bar Harbor",1883,11,-68.212219,44.387699,"coal"
1883-12-11,"Wind North. Commenced work again in the noon to discharge coal and at 3 PM was all discharged soon after dark vessel was afloat sum kedy hauled of made sail and went to Winter Harbor arrived at 9 P.M. wind very moderate when anchored","Winter Harbor",1883,12,-68.09811741,44.39116851,"coal"
1884-01-01,"Wind East North East and snowy all day. hauled up to the Dhouse ton of coal that came out the ""Chromo"" that I have been in for the past year. Took Sch Egret from the Steam boat wharf and took her to our own wharf to look after the remainder of the winter Price agreceived upon $5.00. In the evening went to the Steam boat wharf meeting at Winter Harbor Sleighing good.","Winter Harbor",1884,1,-68.09811741,44.39116851,"coal"
1884-07-30,"Wind Southerly commenced discharging cargo of stone. Went to town in the forenoon and took a coal order (without any help of a broker). to go Portsmouth N.H. with a load of coal freight $1.10 to be loaded at Port Johnston. In the afternoon went to Coney Island with my wife Took the Steamer on the North River and went to Bay Ridge then took the Cars to Coney Island Came back at night to the Chromo. The fare for Gentleman 40 cents and return. And for ladies 35 cts. Received letter today that Stella Our girl at home is sick but on the mending hand","Portsmouth",1884,7,-70.762245,43.071568,"coal"
