date_mdy,journal_entry,location,year,month,longitude,latitude
1872-01-11,Went up the stream to pile up wood.,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-13,Cleaning road and and cutting wood on home lot.,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-15,Cutting wood on home lot.,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-16,Whites landing cutting wood.,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-18,Cutting wood at Whites Landing.,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-19,Cutting wood Whites Landing,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-29,Wrote a letter to Jos. Bunker one to Hale ⌘Emery went up stream cutting wood,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-30,Cutting wood stopping at camp,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-01-31,Cuting wood stopping at camp,Winter Harbor,1872,1,-68.09811741,44.39116851
1872-02-24,Cutting wood at the door went to lodge of Good Templar in Evening,Winter Harbor,1872,2,-68.09811741,44.39116851
1872-03-09,Breakfast with H D Ciombs dinner with Albert Joy wrote letter to CC Burrill came home went to Lodge of Good Templars,Winter Harbor,1872,3,-68.09811741,44.39116851
1872-03-16,Went to District meeting found it to be illegal went to Lodge of Good Templars in evening staid to A. J. Gerrishes all night,Winter Harbor,1872,3,-68.09811741,44.39116851
1872-03-26,Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood,Winter Harbor,1872,3,-68.09811741,44.39116851
1872-03-26,Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood,West Gouldsboro,1872,3,-68.09937127,44.46922347
1872-03-30,Reed letter from Geo W Tracy. Evening went to Lodge of Good Templars,Winter Harbor,1872,3,-68.09811741,44.39116851
1872-04-05,Work in shop in forenoon afternoon went floundering,Winter Harbor,1872,4,-68.09811741,44.39116851
1872-04-06,Went to Turtle Isle. Eve went to Lodge recd letter from CC Burrill & Hale & Emery,Winter Harbor,1872,4,-68.09811741,44.39116851
1872-04-06,Went to Turtle Isle. Eve went to Lodge recd letter from CC Burrill & Hale & Emery,Winter Harbor,1872,4,-68.09811741,44.39116851
1872-04-18,went on Turtle Isle got pogrichum,Winter Harbor,1872,4,-68.09811741,44.39116851
1872-04-18,went on Turtle Isle got pogrichum,Turtle Island,1872,4,-70.03422,44.43423
1872-04-19,went to Seal Cove in Same Knight dinner on board supper & Lodging John Smallidge,Seal Cove,1872,4,-68.406194103026,44.31389393933
1872-04-22,breakfast at Mrs Finleys went to C Isles work on mermaid dinner supper Loding with Joseph Bunker,Cranberry Isles,1872,4,-68.27013482,44.2585131
1872-04-27,Work in shop went to Lodge of G. Templars,Winter Harbor,1872,4,-68.09811741,44.39116851
1872-05-04,Caulked one side of the bat went to Lodge of G. Templar,Winter Harbor,1872,5,-68.09811741,44.39116851
1872-05-11,Reaving of rigging pulling on beak stays went to Lodge of Good Templars staid at Thomas Smallige all night,Winter Harbor,1872,5,-68.09811741,44.39116851
1872-05-18,painted boat took dinner at J Smallidges reed letter from CC Burrill went to Lodge,Winter Harbor,1872,5,-68.09811741,44.39116851
1872-05-27,Took 3900 lbs lobster to factory went to Lamoine,Winter Harbor,1872,5,-68.09811741,44.39116851
1872-05-27,Took 3900 lbs lobster to factory went to Lamoine,Lamoine,1872,5,-68.319185,44.4911
1872-05-30,Carried 6425 lbs lobsters to factory went up Skillings river,Winter Harbor,1872,5,-68.09811741,44.39116851
1872-05-30,Carried 6425 lbs lobsters to factory went up Skillings river,Skillings River,1872,5,-68.30612654,44.52761858
1872-05-31,Took 6400 lbs lobster to factory. went Crabtrees nook,Winter Harbor,1872,5,-68.09811741,44.39116851
