"date_mdy","journal_entry","location","year","month","longitude","latitude"
1873-05-14,"The wind W.N.W. blowed heavy. commenced farming plowing","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-15,"The wind W.N.W. farming plowing Geo. Pendleton taken for stealing acknowledge the deed breaking into C. Stevens store","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-23,"The wind southerly foggy farming planting corn squashes beans pumpkins potatoes peas etc.","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-28,"The wind Southly foggy work for Edmond Grover with team farming","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-31,"The wind N.W.and.S.W finished farming in the oat field painted closer etc. went to Lodge of Good Templars","Winter Harbor",1873,5,-68.09811741,44.39116851
1874-05-30,"The wind out Southerly worked apart of fore noon farming for the first time in 1874","Winter Harbor",1874,5,-68.09811741,44.39116851
1874-06-01,"The wind North East work farming","Winter Harbor",1874,6,-68.09811741,44.39116851
1874-06-02,"The wind Northerly in forenoon S.W. afternoon got provisions on board in fore noon work farming in afternoon","Winter Harbor",1874,6,-68.09811741,44.39116851
1875-05-18,"The wind Easterly and pleasant. getting ready to do some farming","Winter Harbor",1875,5,-68.09811741,44.39116851
1878-06-08,"The wind Southerly Thermometer 54 Commenced farming in morning and finished at night with the help of Charles Harrington at night very heavy rain","Winter Harbor",1878,6,-68.09811741,44.39116851
1879-05-16,"The wind South South East. Thermometer 50 degrees Commenced farming plowed all the forenoon with the help of Henry Sargents cattle. in the afternoon showery and foggy. Farming on the land formerly of the Stephen Rand Estate.","Winter Harbor",1879,5,-68.09811741,44.39116851
1879-05-22,"The wind northerly in forenoon and pleasant Thermometer 60° and in the afternoon the wind South West Thermometer 45 work in the afternoon farming with the help of Simon Sargent and Joseph Bickford Saw the Genil Agt of Ln Lewiston","Winter Harbor",1879,5,-68.09811741,44.39116851
1879-05-23,"The wind North West. Thermometer 62 degrees work all day farming planting beans Corn Squashes &c","Winter Harbor",1879,5,-68.09811741,44.39116851
1879-05-26,"The wind North. Thermometer 51 degrees sewed Cumbers seed and work on the place all day farming","Winter Harbor",1879,5,-68.09811741,44.39116851
1879-05-27,"The wind Westerly Thermometer 53 degrees work all day farming for my self.","Winter Harbor",1879,5,-68.09811741,44.39116851
1880-05-19,"The wind Southerly Thermometer 55° Took up my troll to do other work with the intention of heeping it uo untill after I do some farming. Turned Acorn and ball to go on Spire of Chapel.","Winter Harbor",1880,5,-68.09811741,44.39116851
1880-05-24,"Wind Southerly & foggy Commenced farming plowed all day with the help of Henry Sargent. Acknowledged deed for A.J.Baker Thermometer 65","Winter Harbor",1880,5,-68.09811741,44.39116851
1880-05-26,"Wind Southerly and pleasant Thermometer. 65 degrees Work about home farming Mr Asher Palmer Ordainedin the evening.","Winter Harbor",1880,5,-68.09811741,44.39116851
1880-05-29,"Wind West North West Thermometer 68 degrees Work all day farming. plowing and hauling dressing. Received a Check from the Post Office for $12.38 for Carrying mail. Route 365","Winter Harbor",1880,5,-68.09811741,44.39116851
1880-06-03,"Wind East fresh breeze and clear Thermometer 65 work all day farming covering potatoes and hauling dresing","Winter Harbor",1880,6,-68.09811741,44.39116851
1881-06-02,"The wind South East Thermometer 67 degrees Commenced farming done all ploving Recd execution against J. L. Andrews for me to collect as Constable from the Office of Geo M Warren G. Stevens Plaintiff","Winter Harbor",1881,6,-68.09811741,44.39116851
1881-06-07,"The wind South West work all day farming with J.F.Kingsleys horse and the help of Geo. Gerrish Finished hauling out dressing and planted corn beans & c. Thermometer 50","Winter Harbor",1881,6,-68.09811741,44.39116851
1881-06-11,"The wind E. S. East and pleasant Thermometer 62 degrees bought of James A Stevens 2 Hds salt and got it a shore finished sewing garden and all farming for the spring Recd letter from J.H.West","Winter Harbor",1881,6,-68.09811741,44.39116851
1882-06-12,"Wind Northerly in forenoon Clement Bunker Came to do my farming. In morning I held plow untill 9 oclock in forenoon and left linn and went on board the Sea Queen to go out for Franklin Island. At one PM took the wind out when abrest of onter end of Iron Bound. Anchored at Sullivan at 3 Went ashore got new Coasting Licence. At 5 got underway and went over Falls and up to Franklin At Sunset went ashore and agreed to load for J.P. Gordon with Granite paving blocks for New York at $26 per 1.000","Winter Harbor",1882,6,-68.09811741,44.39116851
1882-06-12,"Wind Northerly in forenoon Clement Bunker Came to do my farming. In morning I held plow untill 9 oclock in forenoon and left linn and went on board the Sea Queen to go out for Franklin Island. At one PM took the wind out when abrest of onter end of Iron Bound. Anchored at Sullivan at 3 Went ashore got new Coasting Licence. At 5 got underway and went over Falls and up to Franklin At Sunset went ashore and agreed to load for J.P. Gordon with Granite paving blocks for New York at $26 per 1.000","Iron Bound",1882,6,-68.133407,44.39197
1882-06-12,"Wind Northerly in forenoon Clement Bunker Came to do my farming. In morning I held plow untill 9 oclock in forenoon and left linn and went on board the Sea Queen to go out for Franklin Island. At one PM took the wind out when abrest of onter end of Iron Bound. Anchored at Sullivan at 3 Went ashore got new Coasting Licence. At 5 got underway and went over Falls and up to Franklin At Sunset went ashore and agreed to load for J.P. Gordon with Granite paving blocks for New York at $26 per 1.000","Franklin",1882,6,-68.225999096,44.585497658
