"date_mdy","journal_entry","location","year","month","longitude","latitude"
1873-05-19,"The wind N.W. plowing in the forenoon and in the afternoon getting ready to go a fishing","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-20,"The wind N.E.and.S.W went a fishing got 20 Codfish in the Mermaid","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-06-07,"The wind N. East went fishing raining read letters from Geo. A. Dyer. Arno Wiswell. Charles C. Burrill all of Ellsworth also one from Perley and Russell of Portland.","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-14,"The wind East and clear went out fishing got 9 went to lodge of Good Templars in evening rainy at 10 PM.","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-19,"The wind Southerly and Easterly started out fishing moderate and came back finished roping jib top sail. Hauled home stove and half doz chairs","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-21,"The wind North West went a fishing A. squall of rain and hail at night went to Lodge of Good Templars","Winter Harbor",1873,6,-68.09811741,44.39116851
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Winter Harbor",1875,7,-68.09811741,44.39116851
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Turtle Island",1875,7,-70.03422,44.43423
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Winter Harbor",1875,7,-68.09811741,44.39116851
1875-07-28,"The wind Southerly and foggy. work in garden washed out fish and work in shop finished the Crib.","Winter Harbor",1875,7,-68.09811741,44.39116851
1876-08-26,"THe wind Westerly in the forenoon and South West in the afternoon went on turtle Island and got some fish of Alvin Foss","Winter Harbor",1876,8,-68.09811741,44.39116851
1876-08-26,"THe wind Westerly in the forenoon and South West in the afternoon went on turtle Island and got some fish of Alvin Foss","Turtle Island",1876,8,-70.03422,44.43423
1876-08-26,"THe wind Westerly in the forenoon and South West in the afternoon went on turtle Island and got some fish of Alvin Foss","Winter Harbor",1876,8,-68.09811741,44.39116851
1876-08-28,"The wind W.N.W. Port falde bottom. on fora for Alvin Foss and washed out some fish","Winter Harbor",1876,8,-68.09811741,44.39116851
1879-06-18,"The wind Northerly Clear Thermometer 52 degrees In the afternoon went down to Schoodic Island and built a tank to pall fish in for Jabez Myriek stoped on the Island all night","Winter Harbor",1879,6,-68.09811741,44.39116851
