"date_mdy","journal_entry","location","year","month","longitude","latitude"
1872-05-21,"Went to Lamoine got 5500 lbs lobsters brought to fueling","Lamoine",1872,5,-68.319185,44.4911
1872-05-22,"Went to Hancock got 6540 lbs lobsters","Hancock",1872,5,-68.2534335,44.52816854
1872-05-23,"Went to Lamoine got 2000 lbs lobsters","Lamoine",1872,5,-68.319185,44.4911
1872-05-27,"Took 3900 lbs lobster to factory went to Lamoine","Winter Harbor",1872,5,-68.09811741,44.39116851
1872-05-27,"Took 3900 lbs lobster to factory went to Lamoine","Lamoine",1872,5,-68.319185,44.4911
1872-05-28,"Took 5400 lbs lobsters to factory","Winter Harbor",1872,5,-68.09811741,44.39116851
1872-05-30,"Carried 6425 lbs lobsters to factory went up Skillings river","Winter Harbor",1872,5,-68.09811741,44.39116851
1872-05-30,"Carried 6425 lbs lobsters to factory went up Skillings river","Skillings River",1872,5,-68.30612654,44.52761858
1872-05-31,"Took 6400 lbs lobster to factory. went Crabtrees nook","Winter Harbor",1872,5,-68.09811741,44.39116851
1872-06-01,"Took 1700 lobsters to factory came home went to Lodge of G. Templars","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-03,"Carried 1800 lbs lobsters to factory went to Lamoine","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-03,"Carried 1800 lbs lobsters to factory went to Lamoine","Lamoine",1872,6,-68.319185,44.4911
1872-06-03,"Carried 1800 lbs lobsters to factory went to Lamoine","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-04,"Took 3960 lbs lobsters to factory","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-06,"Got 3675 lbs lobsters went to Hancock","Hancock",1872,6,-68.2534335,44.52816854
1872-06-08,"Took 1043 lbs lobsters to factory went to West Gouldsboro took dinner with John Shaw got some plank and went home","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-08,"Took 1043 lbs lobsters to factory went to West Gouldsboro took dinner with John Shaw got some plank and went home","West Gouldsboro",1872,6,-68.09937127,44.46922347
1872-06-08,"Took 1043 lbs lobsters to factory went to West Gouldsboro took dinner with John Shaw got some plank and went home","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-10,"Took 2132 lbs lobster to factory, went to Jordans river","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-10,"Took 2132 lbs lobster to factory, went to Jordans river","Jordan River",1872,6,-68.3430556,44.4441667
1872-06-11,"Took 3869 lbs lobster to factory Lodging at home","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-13,"Took 5600 lbs lobster to factory went to Sullivan","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-14,"Took 2913 lbs lobsters to factory went to Hancock","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-14,"Took 2913 lbs lobsters to factory went to Hancock","Hancock",1872,6,-68.2534335,44.52816854
1872-06-15,"Took 2400 lbs lobsters to factory came home in boat took tea went to Lodge of G. Templars lodging at home","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-20,"Took 1180 lbs lobsters to factory went to Sullivan","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-21,"Took 1993 lbs lobsters to factory went to Hancock","Hancock",1872,6,-68.2534335,44.52816854
1872-06-22,"Took 1261 lbs lobsters to factory came home went to Lodge","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-24,"Took 2437 lbs lobsters to factory went to Lamoine","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-24,"Took 2437 lbs lobsters to factory went to Lamoine","Lamoine",1872,6,-68.319185,44.4911
1872-06-25,"Took 1474 lbs lobsters to factory. Lodging at home","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-06-27,"Took 4800 lbs lobsters to factory came home in boat Supper & Lodging at home","Winter Harbor",1872,6,-68.09811741,44.39116851
1872-07-01,"Took 1260 lbs lobster to factory went to Lamoine","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-07-01,"Took 1260 lbs lobster to factory went to Lamoine","Lamoine",1872,7,-68.319185,44.4911
1872-07-02,"Took 1153 lbs lobster to factory","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-07-03,"Went to Hancock got 5400 lbs lobster. and walked home. after tea","Hancock",1872,7,-68.2534335,44.52816854
1872-07-03,"Went to Hancock got 5400 lbs lobster. and walked home. after tea","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-07-06,"went to Hancock got 1115 lbs lobsters came home in boat went to G. T. Lodge in evening","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-07-06,"went to Hancock got 1115 lbs lobsters came home in boat went to G. T. Lodge in evening","Hancock",1872,7,-68.2534335,44.52816854
1872-07-06,"went to Hancock got 1115 lbs lobsters came home in boat went to G. T. Lodge in evening","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-07-08,"Took 800 lbs lobsters to factory went up Skillings river","Winter Harbor",1872,7,-68.09811741,44.39116851
