"date_mdy","journal_entry","location","year","month","longitude","latitude"
1873-11-25,"The wind very moderate from N.W. to S.W. layed in Portland wrote letter to H. Ross of Bangor. sent papers home by mail. Ellsworth American and New Sensation","Portland",1873,11,-70.310425,43.680031
1878-01-28,"The wind Easterly rainy in morning afterward snow and rain Went to West Gouldsboro With Wm Sargents house to see about the new mail Route came home in the afternoon dancing school at my house in the evening Thermometer at 9 pm 16° above","West Gouldsboro",1878,1,-68.09937127,44.46922347
1878-01-28,"The wind Easterly rainy in morning afterward snow and rain Went to West Gouldsboro With Wm Sargents house to see about the new mail Route came home in the afternoon dancing school at my house in the evening Thermometer at 9 pm 16° above","Winter Harbor",1878,1,-68.09811741,44.39116851
1878-08-17,"The wind Southerly and in the fore noon rainy afternoon foggy Thermometer 69 degrees Went to Bar Harbor in my boat to Cary the mail for the US Steamer Gedna","Bar Harbor",1878,8,-68.212219,44.387699
1878-09-03,"The wind Easterly Thermometer 68 degrees Work for Wm Guptill on house Recd notice from Wm B Viall he had accepted my offer to carry the mail","Winter Harbor",1878,9,-68.09811741,44.39116851
1878-09-05,"The wind Easterly and moderate overcast and apart of the day foggy. Thermometer 65° Sent the contract to Wm B Viall taking upon my self the responsibility as mail carrier. Went to Bar Harbor to carry Capt David Move back in afternoon.","Winter Harbor",1878,9,-68.09811741,44.39116851
1878-09-05,"The wind Easterly and moderate overcast and apart of the day foggy. Thermometer 65° Sent the contract to Wm B Viall taking upon my self the responsibility as mail carrier. Went to Bar Harbor to carry Capt David Move back in afternoon.","Bar Harbor",1878,9,-68.212219,44.387699
1878-09-05,"The wind Easterly and moderate overcast and apart of the day foggy. Thermometer 65° Sent the contract to Wm B Viall taking upon my self the responsibility as mail carrier. Went to Bar Harbor to carry Capt David Move back in afternoon.","Winter Harbor",1878,9,-68.09811741,44.39116851
1878-09-14,"The wind South West Cleared of blowing very heavy Thermometer 64 work all day for Wm Guptill Made oath as Mail Carrier before H D Coombs","Winter Harbor",1878,9,-68.09811741,44.39116851
1878-10-04,"The wind North West Thermometer 61 degrees Administered the oath to G.W. Tracy quarterly returns of Post office. Commenced driving mail for the first time on the new route by the way of Hammonds Corner","Winter Harbor",1878,10,-68.09811741,44.39116851
1878-10-05,"The wind North West and the Thermometer 55° Work about home waiting upon the traveling public maile jack to lift waggon Went to West Gouldsboro in afternoon.","Winter Harbor",1878,10,-68.09811741,44.39116851
1878-10-05,"The wind North West and the Thermometer 55° Work about home waiting upon the traveling public maile jack to lift waggon Went to West Gouldsboro in afternoon.","West Gouldsboro",1878,10,-68.09937127,44.46922347
1878-10-07,"The wind North West in forenoon and S. West in afternoon Thermometer 63 Went to West Gouldsboro with the mail","Winter Harbor",1878,10,-68.09811741,44.39116851
1878-10-07,"The wind North West in forenoon and S. West in afternoon Thermometer 63 Went to West Gouldsboro with the mail","West Gouldsboro",1878,10,-68.09937127,44.46922347
1878-10-11,"The wind from North East to South South East. and the Thermometer 40° Went to West Gouldsboro with the mail.","Winter Harbor",1878,10,-68.09811741,44.39116851
1878-10-11,"The wind from North East to South South East. and the Thermometer 40° Went to West Gouldsboro with the mail.","West Gouldsboro",1878,10,-68.09937127,44.46922347
1878-10-12,"The wind Easterly & overcast. Thermometer 45 drove the Mail to West Gouldsboro by the way of Prospect for David Weare.","Winter Harbor",1878,10,-68.09811741,44.39116851
1878-10-12,"The wind Easterly & overcast. Thermometer 45 drove the Mail to West Gouldsboro by the way of Prospect for David Weare.","West Gouldsboro",1878,10,-68.09937127,44.46922347
1878-10-14,"The wind South West Thermometer 45 degrees Went to West Gouldsboro with the mail. worked one fourth day for G.W. Tracy moving partiitions.","Winter Harbor",1878,10,-68.09811741,44.39116851
1878-10-14,"The wind South West Thermometer 45 degrees Went to West Gouldsboro with the mail. worked one fourth day for G.W. Tracy moving partiitions.","West Gouldsboro",1878,10,-68.09937127,44.46922347
