"date_mdy","journal_entry","location","year","month","longitude","latitude"
1871-12-27,"Work about home received letter from N. H. Higgins Ins agt.","Winter Harbor",1871,12,-68.09811741,44.39116851
1872-02-01,"Came home from camp read a letter from Joseph Bunker & Emery","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-03,"work in shop received a letter from CC Burrill Ellsworth one from George N Loomis","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-03-15,"Jobbing read letter from G. N. Harden M D.","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-03-26,"Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-03-26,"Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood","West Gouldsboro",1872,3,-68.09937127,44.46922347
1872-03-30,"received letter from Geo W Tracy. Evening went to Lodge of Good Templars","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-04-11,"Breakfast wtih Hannah G dinner with Stephen Kingsly received letter from Hale Emery one from CC burrill came home","West Gouldsboro",1872,4,-68.09937127,44.46922347
1872-04-11,"Breakfast wtih Hannah G dinner with Stephen Kingsly received letter from Hale Emery one from CC burrill came home","Winter Harbor",1872,4,-68.09811741,44.39116851
1872-05-18,"painted boat took dinner at J Smallidges received letter from CC Burrill went to Lodge","Winter Harbor",1872,5,-68.09811741,44.39116851
1872-07-20,"went to lobster factory after caned strawberrys received letter from G. W. Tracy went to Lodge of G. Templars","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-08-03,"Stormy work in shop received letter from CC Burrill also oil painting of Niagara Falls by moon light went to Lodge of G. Templar lodgign at Thos. Smallidge","Winter Harbor",1872,8,-68.09811741,44.39116851
1872-08-14,"Cutting at the door in forenoon received letter from A. Martin Millbridge","Winter Harbor",1872,8,-68.09811741,44.39116851
1872-09-05,"Getting out window Jams received letter from C. C. Burrill. dinner at usual place while to work on house","Winter Harbor",1872,9,-68.09811741,44.39116851
1872-09-28,"Pretty low with fever received letters of administation of the estate of B Rand","Winter Harbor",1872,9,-68.09811741,44.39116851
1872-09-30,"received letter from Chas. C. Burrill","Winter Harbor",1872,9,-68.09811741,44.39116851
1872-11-09,"Went to Turtle Island gunning received letters from Hale & Emery Jordan & Blake Perley & Russel G. W. Tracy Went to Lodge","Turtle Island",1872,11,-70.03422,44.43423
1872-11-09,"Went to Turtle Island gunning received letters from Hale & Emery Jordan & Blake Perley & Russel G. W. Tracy Went to Lodge","Winter Harbor",1872,11,-68.09811741,44.39116851
1872-11-30,"Hauling home brick shingles and boards from S Guptills wharf went to Lodge. received letter from CC Burrill","Winter Harbor",1872,11,-68.09811741,44.39116851
1872-12-07,"Work in shop received letter from Hale & Emery went to Lodge of G.T. received letter from Hale & Emery","Winter Harbor",1872,12,-68.09811741,44.39116851
1872-12-21,"Repaired windmill received letter from Geo. N. Loomis Lyfe Ins Agt Portsmouth N. H.","Winter Harbor",1872,12,-68.09811741,44.39116851
1872-12-27,"Grinding tools in shop received letter from Geo. A. Dyer","Winter Harbor",1872,12,-68.09811741,44.39116851
1873-02-08,"The wind NE with slate storm cleared of with the wind N.W. and warm worked in shop made crank for jig saw put on new belt had one load wood hauled by J. Shaw. received letter from Reg. of deeds one from Hale and Emery","Winter Harbor",1873,2,-68.09811741,44.39116851
1873-05-01,"The wind west put plank on boat repairing read letters from Reg. of deeds","Winter Harbor",1873,5,-68.09811741,44.39116851
