"date_mdy","journal_entry","location","year","month","longitude","latitude"
1871-12-27,"Work about home reed letter from N. H. Higgins Ins agt.","Winter Harbor",1871,12,-68.09811741,44.39116851
1872-02-01,"Came home from camp read a letter from Joseph Bunker & Emery","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-02-03,"work in shop reed a letter from CC Burrill Ellsworth one from George N Loomis","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-03-15,"Jobbing read letter from G. N. Harden M D.","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-03-26,"Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-03-26,"Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood","West Gouldsboro",1872,3,-68.09937127,44.46922347
1872-03-30,"Reed letter from Geo W Tracy. Evening went to Lodge of Good Templars","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-04-11,"Breakfast wtih Hannah G dinner with Stephen Kingsly reed letter from Hale Emery one from CC burrill came home","West Gouldsboro",1872,4,-68.09937127,44.46922347
1872-04-11,"Breakfast wtih Hannah G dinner with Stephen Kingsly reed letter from Hale Emery one from CC burrill came home","Winter Harbor",1872,4,-68.09811741,44.39116851
1872-05-18,"painted boat took dinner at J Smallidges reed letter from CC Burrill went to Lodge","Winter Harbor",1872,5,-68.09811741,44.39116851
1872-07-20,"went to lobster factory after caned strawberrys reed letter from G. W. Tracy went to Lodge of G. Templars","Winter Harbor",1872,7,-68.09811741,44.39116851
1872-08-03,"Stormy work in shop reed letter from CC Burrill also oil painting of Niagara Falls by moon light went to Lodge of G. Templar lodgign at Thos. Smallidge","Winter Harbor",1872,8,-68.09811741,44.39116851
1872-08-14,"Cutting at the door in forenoon Reed letter from A. Martin Millbridge","Winter Harbor",1872,8,-68.09811741,44.39116851
1872-09-05,"Getting out window Jams reed letter from C. C. Burrill. dinner at usual place while to work on house","Winter Harbor",1872,9,-68.09811741,44.39116851
