"date_mdy","journal_entry","location","year","month","longitude","latitude"
1872-01-13,"Cleaning road and and cutting wood on home lot.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-15,"Cutting wood on home lot.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-16,"Whites landing cutting wood.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-18,"Cutting wood at Whites Landing.","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-19,"Cutting wood Whites Landing","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-29,"Wrote a letter to Jos. Bunker one to Hale ⌘Emery went up stream cutting wood","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-30,"Cutting wood stopping at camp","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-02-24,"Cutting wood at the door went to lodge of Good Templar in Evening","Winter Harbor",1872,2,-68.09811741,44.39116851
1873-02-05,"Went to Ellsworth to probate Court found it postponed dinner at Coombs dinning saloon supper and lodging at home the wind North moderate and warm John Shaw hauled one load of wood","Winter Harbor",1873,2,-68.09811741,44.39116851
1873-02-05,"Went to Ellsworth to probate Court found it postponed dinner at Coombs dinning saloon supper and lodging at home the wind North moderate and warm John Shaw hauled one load of wood","Ellsworth",1873,2,-68.42420475,44.54105229
1873-02-05,"Went to Ellsworth to probate Court found it postponed dinner at Coombs dinning saloon supper and lodging at home the wind North moderate and warm John Shaw hauled one load of wood","Winter Harbor",1873,2,-68.09811741,44.39116851
1873-02-06,"Went up the stream cutting wood for home use took dinner with me supper at home. The wind S.W. warm","Winter Harbor",1873,2,-68.09811741,44.39116851
1873-08-01,"The wind South foggy went in Jones Cove got of two scow loads of wood wrote letter to Benj. Kittridge","Hog Island",1873,8,-69.42166498,43.9666628
1873-08-01,"The wind South foggy went in Jones Cove got of two scow loads of wood wrote letter to Benj. Kittridge","Jones Cove",1873,8,-68.097701,44.467053
1873-08-04,"The wind NW. good breeze Gave Bill of sale of Mermaid and went back to West Gouldsboro and got of three scow loads of wood","Winter Harbor",1873,8,-68.09811741,44.39116851
1873-08-04,"The wind NW. good breeze Gave Bill of sale of Mermaid and went back to West Gouldsboro and got of three scow loads of wood","West Gouldsboro",1873,8,-68.09937127,44.46922347
1873-08-05,"The wind N.W. in fore noon South afternoon got of 3 loads of wood","West Gouldsboro",1873,8,-68.09937127,44.46922347
1873-08-06,"The wind N.W. got of 3 loads of wood","West Gouldsboro",1873,8,-68.09937127,44.46922347
1873-08-07,"The wind South West got of one scow load of wood and finished loading went to Prospect Harbor and got the Signals papers endorsed","West Gouldsboro",1873,8,-68.09937127,44.46922347
1873-08-07,"The wind South West got of one scow load of wood and finished loading went to Prospect Harbor and got the Signals papers endorsed","Prospect Harbor",1873,8,-68.02456023,44.41062098
1873-08-07,"The wind South West got of one scow load of wood and finished loading went to Prospect Harbor and got the Signals papers endorsed","West Gouldsboro",1873,8,-68.09937127,44.46922347
1873-08-13,"The wind very moderate from East to South wrote letters to my wife and Capt. S. L.Tracy. Sailed for Brigadeer's Island after a load of wood for Cobb Lime CO  got abrest Camden at sunset. anchored at Lincolnville at Midnight.","Rockland",1873,8,-69.10869077,44.1041007
1873-08-13,"The wind very moderate from East to South wrote letters to my wife and Capt. S. L.Tracy. Sailed for Brigadeer's Island after a load of wood for Cobb Lime CO  got abrest Camden at sunset. anchored at Lincolnville at Midnight.","Camden",1873,8,-69.058833098,44.20583251
1873-05-25,"The wind North West wrote letter to Capt G. L. Hodgkins went to West Gouldsboro to Settle with S. L. Tracy for load of wood","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-25,"The wind North West wrote letter to Capt G. L. Hodgkins went to West Gouldsboro to Settle with S. L. Tracy for load of wood","West Gouldsboro",1873,5,-68.09937127,44.46922347
1873-05-25,"The wind North West wrote letter to Capt G. L. Hodgkins went to West Gouldsboro to Settle with S. L. Tracy for load of wood","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-08-30,"The wind South West got of 4 scow loads of wood and got into Stave Island and walked home","Iron Bound",1873,8,-68.133407,44.39197
1873-08-30,"The wind South West got of 4 scow loads of wood and got into Stave Island and walked home","Stave Island",1873,8,-70.0875475,43.7159161
1873-08-30,"The wind South West got of 4 scow loads of wood and got into Stave Island and walked home","Winter Harbor",1873,8,-68.09811741,44.39116851
1873-09-02,"The wind N.W. blow heavy scowed of 4 loads of wood finished loading went home","Stave Island",1873,9,-70.0875475,43.7159161
1873-09-02,"The wind N.W. blow heavy scowed of 4 loads of wood finished loading went home","Winter Harbor",1873,9,-68.09811741,44.39116851
1873-09-16,"The wind Southerly went to Ellsworth by land got deed made out by Arno Wiswell.  came back to go Jordans River took of one load of wood in scow","Jordan River",1873,9,-68.3430556,44.4441667
1873-09-16,"The wind Southerly went to Ellsworth by land got deed made out by Arno Wiswell.  came back to go Jordans River took of one load of wood in scow","Ellsworth",1873,9,-68.42420475,44.54105229
1873-09-16,"The wind Southerly went to Ellsworth by land got deed made out by Arno Wiswell.  came back to go Jordans River took of one load of wood in scow","Jordan River",1873,9,-68.3430556,44.4441667
1873-09-17,"The wind N.W. got of two scow loads of wood","Jordan River",1873,9,-68.3430556,44.4441667
1873-09-18,"The wind South West got of two loads of wood in scow","Jordan River",1873,9,-68.3430556,44.4441667
1873-09-19,"The wind S.S.E. rainy in afternoon took of two loads of wood","Jordan River",1873,9,-68.3430556,44.4441667
1873-09-20,"The wind N.W. got of apart of a load of wood took pilot Daniel Foster and came out the river got to Cranberry Isles.","Jordan River",1873,9,-68.3430556,44.4441667
1873-09-20,"The wind N.W. got of apart of a load of wood took pilot Daniel Foster and came out the river got to Cranberry Isles.","Cranberry Isles",1873,9,-68.27013482,44.2585131
1873-10-03,"The wind N.E. overcast got hold full of wood","Jordan River",1873,10,-68.3430556,44.4441667
1873-12-26,"The wind N.E.ast hauled a load of wood","Winter Harbor",1873,12,-68.09811741,44.39116851
1874-01-22,"The wind southerly went up in the woods cutting wood","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-01-23,"The wind southerly.rainy cutting wood","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-01-27,"The wind N.E. very cold and snowy went up the stream cutting wood wrote letter to Benj. Kittridge","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-01-28,"The wind Northerly cutting wood.","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-01-29,"The wind N.West cutting wood.","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-02-23,"The wind Easterly snow sleet and Rain hauled out two loads of wood broke sled tongue","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-24,"The wind. N.W. by N. went in the woods ccutting wood staid at the camp all night.","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-25,"The wind N. E. cutting wood came home at night snow in the evening","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-26,"The wind from N.E. to West cutting wood.","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-27,"The wind North West cutting wood had four loads hauled home.","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-28,"The wind. N.W. Cold cutting wood had four loads hauled home came out at night recd letters from Arno. Wiswell. Wm. Rosebrooks and","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-03-20,"The wind W.N.W. blew heavy took two scow loads of wood of stave Island","Winter Harbor",1874,3,-68.09811741,44.39116851
1874-03-20,"The wind W.N.W. blew heavy took two scow loads of wood of stave Island","Stave Island",1874,3,-70.0875475,43.7159161
1874-03-20,"The wind W.N.W. blew heavy took two scow loads of wood of stave Island","Winter Harbor",1874,3,-68.09811741,44.39116851
1874-03-21,"The wind South West took of two scow loads of wood and walked home","Winter Harbor",1874,3,-68.09811741,44.39116851
1874-04-09,"The wind N.N.E. snow all forenoon cleared up in afternoon and got one scow load of wood from Whites Landing","Winter Harbor",1874,4,-68.09811741,44.39116851
1874-10-14,"The wind Northerly went to West Gouldsboro and East sullivan after a load of wood and to settle with James Doyle for a load carried to Boston. wrote letter to E. H. Wallace","Winter Harbor",1874,10,-68.09811741,44.39116851
1874-10-14,"The wind Northerly went to West Gouldsboro and East sullivan after a load of wood and to settle with James Doyle for a load carried to Boston. wrote letter to E. H. Wallace","West Gouldsboro",1874,10,-68.09937127,44.46922347
1874-10-14,"The wind Northerly went to West Gouldsboro and East sullivan after a load of wood and to settle with James Doyle for a load carried to Boston. wrote letter to E. H. Wallace","Winter Harbor",1874,10,-68.09811741,44.39116851
1875-02-10,"The wind North West work in woods cutting wood","Winter Harbor",1875,2,-68.09811741,44.39116851
1875-02-19,"very moderate and nearly calm all day went in the woods and hauled home two loads of wood","Winter Harbor",1875,2,-68.09811741,44.39116851
1875-02-20,"The wind Easterly and snowy in morning rain in afternoon hauled two loads of wood","Winter Harbor",1875,2,-68.09811741,44.39116851
1875-08-13,"The wind Southerly and foggy Cutting wood at the door","Winter Harbor",1875,8,-68.09811741,44.39116851
1875-08-14,"The wind Southerly foggy in forenoon clear in afternoon cutting wood at the door.","Winter Harbor",1875,8,-68.09811741,44.39116851
1876-12-30,"The wind Southerly. with snow squalls. Westerly in afternoon. Work at home cutting wood. and turning Lounge legs in shop","Winter Harbor",1876,12,-68.09811741,44.39116851
1877-04-11,"The wind North East. Dr. N. Pendleton burried in afternoon took at home cutting wood.","Winter Harbor",1877,4,-68.09811741,44.39116851
