"date_mdy","journal_entry","location","year","month","longitude","latitude"
1872-01-04,"Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-04,"Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake","Ellsworth",1872,1,-68.42420475,44.54105229
1872-01-12,"About home wrote a letter to Amery Otis Ellsworth. Regs one to G H Loomes Ins. Agt. Portsmouth","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-01-29,"Wrote a letter to Jos. Bunker one to Hale ⌘Emery went up stream cutting wood","Winter Harbor",1872,1,-68.09811741,44.39116851
1872-02-02,"Work in shop wrote a letter to Joseph Bunker","Winter Harbor",1872,2,-68.09811741,44.39116851
1872-03-09,"Breakfast with H D Ciombs dinner with Albert Joy wrote letter to CC Burrill came home went to Lodge of Good Templars","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-03-21,"Breakfast at Wm. Joys dinner at Same Woods wrote letter to CC Burrill came home","West Gouldsboro",1872,3,-68.09937127,44.46922347
1872-03-21,"Breakfast at Wm. Joys dinner at Same Woods wrote letter to CC Burrill came home","Winter Harbor",1872,3,-68.09811741,44.39116851
1872-04-08,"Went to W. Gouldsboro wrote letter to Hale & Emery took dinner with John Shaw tea with Evett Young lodging with the same","West Gouldsboro",1872,4,-68.09937127,44.46922347
1872-04-10,"Breakfast with Hannah G dinner wtih Dr. Johnson wrote letter to CC burrill supper and Lodging with Hannah Goodwin","West Gouldsboro",1872,4,-68.09937127,44.46922347
1872-08-27,"rainy build Coal bin wrote letter to Hale & Emery Ellworth Me.","Winter Harbor",1872,8,-68.09811741,44.39116851
1872-09-06,"Furrowed over head and studied of the sorms wrote letter to C C Burrill dinner as usual. went to Political lecture gone one hour and 15 min.","Winter Harbor",1872,9,-68.09811741,44.39116851
1872-10-14,"Wrote letter to H. M. Soule. one to mary Moore. one to Capt. Thomas Smallidge","Winter Harbor",1872,10,-68.09811741,44.39116851
1872-10-16,"Wrote letter to Byron Welsh","Winter Harbor",1872,10,-68.09811741,44.39116851
1872-10-28,"Gathered turnips and beets wrote letter to Hale and Emery","Winter Harbor",1872,10,-68.09811741,44.39116851
1872-11-04,"Wrote letter to Jordan & Blake and Perly & Russel went to work on Damons S House dinner & supper at Cila Hommonds Lodging John Shaw","Winter Harbor",1872,11,-68.09811741,44.39116851
1872-11-20,"Laid in Bass Harbor wrote letter to my wife","Bass Harbor",1872,11,-68.34644791,44.23879938
1873-01-06,"Fair weather the wind West wrote a letter to C. C. Burrill. Geo. N. Loomis. Went on board Schr A. G. Brooks to see about putting a house on. Wrote letters to Geo. N. Loomis. C. C. Burrill","Winter Harbor",1873,1,-68.09811741,44.39116851
1873-01-13,"The wind Eastward in morning clear worked around to the southward wrote letter to Perley. and Russell. mended furniture in forenoon. in afternoon write will for A.J. Gerrish","Winter Harbor",1873,1,-68.09811741,44.39116851
1873-02-01,"Calm and very moderate wrote letter to G. Hodgkins Lamoine work on window frames in shop for Geo. Sargent went to Lodge of good Templars Installed officers","Winter Harbor",1873,2,-68.09811741,44.39116851
1873-02-19,"The wind S.E snow by spells work in shop repairing boat for the schr Virgin begun to timber her out wrote letter to C. Stevens","Winter Harbor",1873,2,-68.09811741,44.39116851
1873-03-03,"The wind E.N.E  started for town meeting snowed hard and gave it up put lock on C. Stevens store wrote letter to Reg. of Deeds","Winter Harbor",1873,3,-68.09811741,44.39116851
1873-03-31,"The wind East snow and rain in the afternoon work on board A. G Brooks Wrote letter to Geo Tracy G. W. Butter and Town Clerk","Winter Harbor",1873,3,-68.09811741,44.39116851
1873-04-14,"The wind N.Easternly snow and rain moderately went on Iron Bound work for Galen Smith repairing boats dinner and supper at his house came home recd $3.50 wrote letter to G. W. Butter","Winter Harbor",1873,4,-68.09811741,44.39116851
1873-04-14,"The wind N.Easternly snow and rain moderately went on Iron Bound work for Galen Smith repairing boats dinner and supper at his house came home recd $3.50 wrote letter to G. W. Butter","Iron Bound",1873,4,-68.133407,44.39197
1873-04-14,"The wind N.Easternly snow and rain moderately went on Iron Bound work for Galen Smith repairing boats dinner and supper at his house came home recd $3.50 wrote letter to G. W. Butter","Winter Harbor",1873,4,-68.09811741,44.39116851
1873-04-28,"The wind N.W by W. pointed and headed bolts for the boat putting rail on boat wrote letter to Henry Geyer","Winter Harbor",1873,4,-68.09811741,44.39116851
1873-05-12,"The wind around compass wrote letter to Henry Geyer James H. Gregory worked in forenoon. on A. G. Brooks mains oil in afternoon roping Jib topsail for my self","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-06-11,"The wind South worked one half the forenoon on Highway commenced raining stoped work wrote letter to T. Smallidge Boston","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-16,"The wind Southerly wrote a letter to Augustus Gerrish Eastport had the parlor painted","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-26,"The wind Southerly worked one half day building Galley on A. G. Brooks wrote letter to Thomas Bunker, Recd one from Augustus Gerrish.","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-30,"The wind southerly started in the Schr Banner for Calais got to Mark Island thick fog dinner on board went back home wrote letter Benj Kittridge East Eden","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-06-30,"The wind southerly started in the Schr Banner for Calais got to Mark Island thick fog dinner on board went back home wrote letter Benj Kittridge East Eden","Mark Island",1873,6,-68.088018,44.362014
1873-06-30,"The wind southerly started in the Schr Banner for Calais got to Mark Island thick fog dinner on board went back home wrote letter Benj Kittridge East Eden","Winter Harbor",1873,6,-68.09811741,44.39116851
1873-07-10,"The wind southerly took the boat ashore to stop a leak and hauled of wrote letter to J. F. Kingsley","Winter Harbor",1873,7,-68.09811741,44.39116851
1873-07-12,"The wind N.West and fine weather wrote wrote letters to C. C. Burrill and G. L. Hodgkins worked in garden. went to Lodge of G. Templars","Winter Harbor",1873,7,-68.09811741,44.39116851
1873-07-15,"The wind Northerly strong breeze. went to Crabtrees neck and back in boat. wrote letter to E. Kingsley answered by Kellly Kingsley","Winter Harbor",1873,7,-68.09811741,44.39116851
1873-08-01,"The wind South foggy went in Jones Cove got of two scow loads of wood wrote letter to Benj. Kittridge","Hog Island",1873,8,-69.42166498,43.9666628
1873-08-01,"The wind South foggy went in Jones Cove got of two scow loads of wood wrote letter to Benj. Kittridge","Jones Cove",1873,8,-68.097701,44.467053
1873-08-13,"The wind very moderate from East to South wrote letters to my wife and Capt. S. L.Tracy. Sailed for Brigadeer's Island after a load of wood for Cobb Lime CO  got abrest Camden at sunset. anchored at Lincolnville at Midnight.","Rockland",1873,8,-69.10869077,44.1041007
1873-08-13,"The wind very moderate from East to South wrote letters to my wife and Capt. S. L.Tracy. Sailed for Brigadeer's Island after a load of wood for Cobb Lime CO  got abrest Camden at sunset. anchored at Lincolnville at Midnight.","Camden",1873,8,-69.058833098,44.20583251
1873-05-25,"The wind North West wrote letter to Capt G. L. Hodgkins went to West Gouldsboro to Settle with S. L. Tracy for load of wood","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-05-25,"The wind North West wrote letter to Capt G. L. Hodgkins went to West Gouldsboro to Settle with S. L. Tracy for load of wood","West Gouldsboro",1873,5,-68.09937127,44.46922347
1873-05-25,"The wind North West wrote letter to Capt G. L. Hodgkins went to West Gouldsboro to Settle with S. L. Tracy for load of wood","Winter Harbor",1873,5,-68.09811741,44.39116851
1873-09-30,"The wind Northerly wrote letter Henry Geyer and Hannah Goodwin","Winter Harbor",1873,9,-68.09811741,44.39116851
1873-10-20,"The wind South very fresh breeze and rough could not load wrote letter to Post master West Tremont S. D. Parsons Bangor","Winter Harbor",1873,10,-68.09811741,44.39116851
1873-10-25,"The wind N.N.W. could not load recd letter from Perley and Russell wrote letters to Chas Eaton Greens Landing and Benj. Kittridge","Winter Harbor",1873,10,-68.09811741,44.39116851
1873-10-27,"The wind SSE. rainy and blow wrote letters to A.N. Willey and. Geo. N. Loomis hung grindstone","Winter Harbor",1873,10,-68.09811741,44.39116851
1873-11-16,"The wind Easterly and snowed took dinner on board the A. G. Brooks. wrote letter to Mrs F. R. Bunker and Benj. Kittridge","Bangor",1873,11,-68.795013,44.808147
1873-11-19,"The wind Westerly layed into Bucksport for temporary repairs write letters home and Galen Smith","Bucksport",1873,11,-68.79559,44.57369
1873-11-23,"The wind Easterly and moderate. layed to an anchor in Portland wrote letters home to Benj. Kittridge Mrs. L. Hammond and C. Stevens","Portland",1873,11,-70.310425,43.680031
1873-11-25,"The wind very moderate from N.W. to S.W. layed in Portland wrote letter to H. Ross of Bangor. sent papers home by mail. Ellsworth American and New Sensation","Portland",1873,11,-70.310425,43.680031
1873-12-11,"The wind from West to West South West got underway in Portsmouth in morning anchored in Portland at 2 PM. wrote letter home snowed in afternoon","Portsmouth",1873,12,-70.762245,43.071568
1873-12-11,"The wind from West to West South West got underway in Portsmouth in morning anchored in Portland at 2 PM. wrote letter home snowed in afternoon","Portland",1873,12,-70.310425,43.680031
1873-12-27,"The wind North East wrote letter to Ellsworth American. turned Indian clubs for Mr Howard Tacher went to Lodge of Good Templars. snowed in evening","Winter Harbor",1873,12,-68.09811741,44.39116851
1873-12-29,"The wind West Wrote letters to D. T. Tyler and Thomas Bunker","Winter Harbor",1873,12,-68.09811741,44.39116851
1874-01-06,"The wind southerly made damper for stove pipe wrote letter to Proctor Smallidge","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-01-27,"The wind N.E. very cold and snowy went up the stream cutting wood wrote letter to Benj. Kittridge","Winter Harbor",1874,1,-68.09811741,44.39116851
1874-02-03,"The wind Easterly big snow storm wrote letter to Evans Young went to Navigation School","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-07,"The wind North West cold wrote letter to Arno Wiswell Esq.","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-02-09,"The wind Northerly moderate and warm wrote letters to Dr Lewis Dr Johnson Mr. Lucy Martin ans Wm. Joy went to Navigation School","Winter Harbor",1874,2,-68.09811741,44.39116851
1874-03-03,"The wind Southerly and warm wrote letter to Benj. Kittridge surveyed wood for Flora Gerrish worked in shop apart of the day on boat","Winter Harbor",1874,3,-68.09811741,44.39116851
1874-04-07,"The wind Southerly wrote letter to Josiah Smallidge","Winter Harbor",1874,4,-68.09811741,44.39116851
1874-04-23,"The wind very moderate to the S.S.E. Wrote letter to Saml. Libby and work on board vessel","Winter Harbor",1874,4,-68.09811741,44.39116851
1874-04-24,"Calm in morning with snow. The wind South West in afternoon wrote letter to L. D. Parsons Bangor William and Dean Rockland for freight also William Stevens Machias.","Winter Harbor",1874,4,-68.09811741,44.39116851
1874-05-08,"The wind Southerly got underway at daylight got to Bangor at 2 P.M. chattered to go to Lynn with slabs wrote letter home","Bangor",1874,5,-68.795013,44.808147
1874-05-19,"The wind South East and foggy in forenoon westerly and clear at night came out of Portland at 6pm calm all night wrote letter home","Portland",1874,5,-70.310425,43.680031
1874-06-25,"The wind W.N.W. hauled into the wharf to to fix the vessel. Wrote letter to Charles Burrill.","Winter Harbor",1874,6,-68.09811741,44.39116851
1874-07-07,"The wind South West towed up river in morning wrote letter home.","Calais",1874,7,-67.282753,45.188042
1874-08-15,"The wind N. N. E. worked on vessel in forenoon made mast thot in afternoon wrote letter to Hancock Company Pub Co enclosed $1.60","Winter Harbor",1874,8,-68.09811741,44.39116851
