"date_mdy","journal_entry","location","year","month","longitude","latitude"
1885-01-01,"Wind moderate Southerly Indications of a storm snow squalls. The Sch. Chromo hauled up for the winter at the Steam boat wharf. I live at Ms Kingsleys house. Moved over at the death of Joseph Kingsleys which occures the 16th day of January 1884. I have been Master of the Sch Chromo a little more than two years. The ground entirely free from snow.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-02,"Wind North NorthWest the Thermometer down to zero most all day. Work most all day repairing a Barbers chair for James Westcott.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-03,"Wind Westerly Thermometer 14 degrees above. Work about home all day","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-06,"Wind Southerly and at 9 AM began torain and rained all day. Wrote deed from Carrie G Mathews to Wm H Sargent and one from Wm H  Sargent to George Mathews.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-07,"Wind SouthWest and thick with fog. Bought two Bbls apples got them home.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-08,"Wind Westerly fresh. Work in shop on windows putting in glass all day","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-09,"Wind Southerly Work for Capt J R Hammond in Shop making Organ Stool","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-10,"Wind SouthWest blowing a gale Work in Shop on small jobs. Made skate woods for Frank Tracy.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-11,"Wind Southerly afternoon fresh and evening stormy. The ground as bare from snow as in the summer non to be seen in any direction","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-12,"Wind Southerly and blowing a gale with heavy rain","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-13,"Wind NorthWest Thermometer about 30 degrees above all day. Work for Jannie Kingsley shingling the hen house","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-14,"Wind Northerly in forenoon. Went to the Lower Harbor after a stick to make a flying jib boom for the Sch. A.G.Brooks back at noon and in the afternoon the Wind SouthWest. Ground entirly free from snow","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-15,"Wind Easterly Commenced to run land on our back lot that was bought of Wm Handy. But it commenced to snow and come out the woods at 10 oclock A.M. In the afternoon commenced to make a part of a Suveyors compass.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-16,"Wind NorthEasterly Afternoon snowy Commenced making a flying jib boom for Sch A.G. Brooks","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-17,"Wind Easterly and in the forenoon rainy. Afternoon wind Southerly and at night wind Westerly Not being very well did not work, anywhere.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-18,"Wind Westerly did not go out of door not being well","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-19,"Wind West NorthWest Feeling quite well Helped J R Hammond and Roderic  Pendleton run a line between Roderic Pendletons Western bound on his back lot and our own","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-20,"Wind NorthWest Work most all day for J.H. Smallrdge on flying jibboom","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-21,"Wind Westerly Finished boom for A.G.Brooks","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-22,"Wind NorthWest. and blowing a gale Thermometer 4 degrees below zero and at 9 P.M. 8 below 0 Made a sled roller for John Foss.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-23,"Wind Thermometer 4 degrees. below zero in the morning but it soon moderated work in shop.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-24,"Wind Easterly and snowing hard all day. In the forenoon on board the Chromo at work, and in the afternoon worked in shop at home","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-25,"Wind Southerly quite moderate.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-26,"Calm or nearly so all day. Worke in the forenoon on board of the Chromo on penders. In the afternoon went to Milbridge to a Masonie Meeting to be held in the evening the Lodge opened on the third degree. one man Bro book was raised from the degree of Fellow Craft to the subline of a M.Mason Midnight started for home.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-27,"Wind NorthWest and growing cold. Arrived home from Milbridge at 2.30 in the morning where I had been to attend a Masonic Meeting. Work all day getting ready to start a Masonic Lodge of instructions at Winter Harbor.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-28,"Wind NorthNorthEast Thermometer 10 degrees below zero and snowing all day Island at home and studied hard all day preparing myself for a Lodge of Instructions. Masons meet tonight but I am unable to attend having a bad cold.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-29,"Wind NorthWest. fresh breeze and cold. Was notified that the masons met at the hall last evening and Elected me Master of the Lodge.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-30,"Wind SouthWest Staid about home. making working tools for the Lodge.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-01-31,"Wind Westerly and quite moderate work at home repairing doors etc.","Winter Harbor",1885,1,-68.09811741,44.39116851
1885-02-01,"Wind South East. and thick with snow. all day.","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-02,"Wind NorthWest. blowing a gale with the Thermometer down to zero.","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-03,"West NorthWest. Thermometer 5 degrees above zero. Work about home jobbing","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-04,"Wind NorthEast. In the evening went to the hall to a Masonic Lodge Myself Master In the evening snowing","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-05,"Wind NorthEast work abou home","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-06,"Wind Northerly Studying to post myself in Masonery in the forenoon. and in the after noon work in shop on Surveyors Compass. that I had begun to make some time ago and nearly completed it.","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-07,"Wind Southerly and fresh blustering","Winter Harbor",1885,2,-68.09811741,44.39116851
1885-02-08,"Wind NorthWest. Thermometer 20 degree above zero.","Winter Harbor",1885,2,-68.09811741,44.39116851
